comment_id,video_id,video_title,channel_title,clean_text,published_at,like_count,candidate_sentiment,candidate_confidence,sentiment
UgwkEx2caTYlZO_e0P54AaABAg,UKWZhpb5vqg,"Delhi&#39;s New EV Policy: Petrol 2-Wheelers Can&#39;t Be Registered From April 1, 2028 | World DNA News",WION,Stupid policy without vision.....not charging more tax on EV is not any deal breaker...ice vehicle will still be cheaper than EV without or without incentive to buy...EV mandate is necessary,2026-04-13T14:36:21Z,0,Negative,0.6211003065109253,Negative
Ugx-H9MZur8zMx1eaCR4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Seedhi baat kha par petrol pumps ha whi par EV charging stations bna do,2026-07-01T14:19:53Z,663,Neutral,0.8337237238883972,Neutral
UgxyQt2YgMLpfpm5ka14AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,One good decision by rekha... but only if Proper charging network,2026-07-01T14:58:41Z,273,Positive,0.736766517162323,Positive
UgxbpJrvdMSW_9Skd2R4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Very good decision of Rekha Gupta CM because pollution sabse badi problem hai delhi me but ev charging station develop karne honge fastly 😊😊🎉,2026-07-01T15:53:44Z,0,Positive,0.9291479587554932,Positive
UgyvjSCDs0X2tv5BOyB4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Agar har jagah EV charging station banaye to ekdum perfect idea hai....❤😊,2026-07-02T07:20:14Z,0,Positive,0.9685382843017578,Positive
UgzI65lnnUgT2hFaMkJ4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,"That's good, but the government needs to work on changing the infrastructure.",2026-07-02T03:30:43Z,0,Neutral,0.5501164197921753,Neutral
UgxrByvHTqD2DCg7ax54AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,EV subsidy form kaise bharte hain us par ek video bana do please.,2026-07-11T18:25:20Z,0,Neutral,0.8609400987625122,Neutral
UgxJdDJBNFnkuMS6qGV4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,But they should atleast give some benefits for 4 wheelers also.,2026-07-01T18:47:06Z,0,Neutral,0.7985101938247681,Neutral
Ugy9JYQb5J9rGbzW0Ep4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,"I have a plan for speed up or boost charging station all over Delhi You don't have to do anything else. Just do this: if the deadline is set as April 1, 2028, then make a rule that applies to all petrol and CNG stations as well. Every petrol and CNG station must have at least one EV charging station capable of charging a minimum of one four-wheeler and two two-wheelers at the same time.",2026-07-05T16:01:20Z,1,Neutral,0.7220879793167114,Neutral
UgwR92On3rKVdmp-wxJ4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,2 way participation can actually make it happen. If the government develops sufficient infrastructure then people will be more cooperative because of the ease,2026-07-05T11:19:22Z,0,Positive,0.6669464707374573,Positive
Ugw0D-ASHLrkxx0K1uJ4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Bhai isiliye 2028 tak date dia he i think taki tab tak Ev ka charging infrastructure behtar kar sake .,2026-07-04T13:17:16Z,0,Neutral,0.8336778283119202,Neutral
UgzRU2NIp0GcGcGTGmR4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Government should also take more steps •making more charging station •subsidised ev vehicles and reduce taxes in ev,2026-07-01T16:15:09Z,0,Neutral,0.7251675128936768,Neutral
UgyUQiJpL4EXIMOBLlB4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,New rules for common people,2026-07-03T16:18:22Z,0,Neutral,0.7859646081924438,Neutral
UgzJkz69_2KSxY3K_cF4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,But in a video i saw that someone stole the charging cable of charging stations,2026-07-02T01:20:54Z,0,Negative,0.5111439824104309,Negative
Ugw7j_lgyiKWOftIgPZ4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Ek hi party ke do neta do alag alag technologies promote kar re hain.. delhi ke liye EV kharido aur dusre state me Ethanol compliant vehicle,2026-07-02T05:30:27Z,0,Neutral,0.8809545040130615,Neutral
UgxWb3R0C7inl_jYn-x4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Bhaiya agar UP mein agar ev two wheeler kharidenge to use per bhi sab subsidy milegi pls bataye,2026-07-01T15:22:41Z,0,Neutral,0.7669554948806763,Neutral
UgxLuYcLRSjDCjMHSWh4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Most of the govt 4 wheeler are massively petrol and disel,2026-07-01T18:40:43Z,0,Negative,0.601626455783844,Negative
UgxyR6PTWEBz0WAgMnR4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,But the problem is that we don't have fast charging infrastructure and india produces most of its electricity with the help of coal,2026-07-02T03:33:02Z,0,Negative,0.7998202443122864,Negative
UgwmVcp8bgd7mX5IJL14AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,"Govt should implement 1. zero tax upto 5years, 2. Providing long lasting battery atleast 5 years mandatory for companies , 3. Modified petrol pump with ev charging points, 4 . Give a loan with zero interest to buy ev vehicles",2026-07-02T04:48:25Z,0,Neutral,0.7867767214775085,Neutral
UgyxpmBQMufw4QIzt1N4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Logo ko thodi dikkat hogi lekin Delhi jesi jagah ke liye strict rules aane jaroori h 👍,2026-07-02T02:26:04Z,0,Neutral,0.746163010597229,Neutral
Ugy7_N9R9Y9vHaO3pCR4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Tata ko bolo charging station lagane ke liye,2026-07-02T02:30:57Z,0,Neutral,0.7684935331344604,Neutral
UgyTE8HHMeAkBCUcuYd4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Policy success ho na ho...Bijli ke rates 100 rs tak ya us se bhi upar ho jayega,2026-07-01T15:30:05Z,0,Neutral,0.8004261255264282,Neutral
UgzVKni_5_CvePNFNpZ4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,The govt must focus on the following 1. Better EV battery (solid state battery) 2. Ban stubble burning 3. Charging infra.,2026-07-05T09:44:51Z,0,Neutral,0.6441587805747986,Neutral
UgyuKU84Rf3y980vuXp4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Our West Bengal Double engine government is filling air in 🚆 train wheel,2026-08-11T12:40:00Z,0,Neutral,0.6185835599899292,Neutral
UgzI56lZhGQv-j9o7aV4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,"Best policy hai only new vehicle registration will be stop All old vehicle can continue to operate,aso subsidy hai to log EV buy kar lenge specially in two vehicles",2026-07-02T04:23:29Z,0,Neutral,0.5753054022789001,Neutral
Ugyi5F-Dm26ScWOVf8x4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Ghanta. Subsidity atti hai chor hai sab. Pehle bhi electric tempu aur scooty li bola tha 2 months me subsidy ayegi . 3 saal hogaye kuch nai ayaa 😂 sab gapla Hai .,2026-07-02T20:53:03Z,1,Neutral,0.6401708126068115,Neutral
UgxoT8TK3h0FtVdjYqB4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Aab gatkari jii ka kya hoga road tax maaf kar diya to 😂😂,2026-07-02T01:52:11Z,0,Neutral,0.6472137570381165,Neutral
UgzZTNz9dzAIiT45Cn94AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Parli nam ki bhi chig bhi dehli m efkt dal ti hai usse bhi dekhle dehli govt,2026-07-07T16:28:36Z,0,Neutral,0.7877434492111206,Neutral
UgwmO1PrvSHPNzQ-15V4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,Yes because you only made a Video of showing how Delhi government is boasting charging stations in Delhi,2026-07-02T06:47:52Z,0,Neutral,0.7175715565681458,Neutral
UgyeLdSu6caeFpHRACB4AaABAg,Y2rMYyfbhx8,DELHI EV POLICY 2026 EXPLAINED!!,Prabhjot Speaks,"The government has done a good job out of many evils and corruptions, but some more improvement is needed. Now I don't know how long it will be fully implemented, because Ethanol Gadkari has already achieved the 2030 milestone in 2025. 😂",2026-07-02T07:28:46Z,0,Positive,0.5680306553840637,Positive
